epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3888,1.19614,1.50177,0.96711,0.60166,0.55582,0.54819,0.35568,0.96238,1.06392,0.85192,0.000415833,0.000415833,0.000415833
2,152.835,0.98515,1.07094,0.90577,0.68234,0.60299,0.63663,0.42444,0.90192,0.96479,0.84673,0.000667665,0.000667665,0.000667665
3,223.023,0.92443,0.98743,0.89449,0.69987,0.61557,0.65265,0.46729,0.77161,0.87343,0.82208,0.000754497,0.000754497,0.000754497
4,292.252,0.85302,0.89891,0.88001,0.76224,0.64976,0.71218,0.53109,0.68859,0.72912,0.80551,0.0005075,0.0005075,0.0005075
5,362.951,0.78561,0.81478,0.86674,0.77081,0.6665,0.72889,0.55627,0.64036,0.68224,0.79721,0.00026,0.00026,0.00026
