epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.0706,1.29539,1.77403,1.00465,0.56696,0.52754,0.50385,0.33734,0.90423,1.06813,0.82839,0.00332667,0.00332667,0.00332667
2,161.655,1.0486,1.13052,0.90593,0.65386,0.59327,0.60526,0.41761,0.81875,0.94088,0.81716,0.00659407,0.00659407,0.00659407
3,235.61,1.0755,1.08173,0.90888,0.57072,0.55527,0.53171,0.33128,1.02852,1.16978,0.86599,0.00979547,0.00979547,0.00979547
